Bakery[Date],Bakery[Time],Bakery[day of week],Bakery[total],Bakery[Name],Bakery[Quantity],Bakery[Bakery price.price],Bakery[NewTime]
"20/02/2020 00:00:00","30/12/1899 11:01:00","Thursday","14800","angbutter","1","4800","11:30:00 AM"
"05/03/2020 00:00:00","30/12/1899 11:03:00","Thursday","14800","angbutter","1","4800","11:30:00 AM"
"26/10/2019 00:00:00","30/12/1899 11:03:00","Saturday","14800","angbutter","1","4800","11:30:00 AM"
"25/09/2019 00:00:00","30/12/1899 11:05:00","Wednesday","14800","angbutter","1","4800","11:30:00 AM"
"22/12/2019 00:00:00","30/12/1899 11:05:00","Sunday","14800","angbutter","1","4800","11:30:00 AM"
"20/10/2019 00:00:00","30/12/1899 11:05:00","Sunday","14800","angbutter","1","4800","11:30:00 AM"
"16/08/2019 00:00:00","30/12/1899 11:05:00","Friday","14800","angbutter","1","4800","11:30:00 AM"
"10/11/2019 00:00:00","30/12/1899 11:06:00","Sunday","14800","angbutter","1","4800","11:30:00 AM"
"26/01/2020 00:00:00","30/12/1899 11:07:00","Sunday","14800","angbutter","1","4800","11:30:00 AM"
"17/11/2019 00:00:00","30/12/1899 11:07:00","Sunday","14800","angbutter","1","4800","11:30:00 AM"
"08/03/2020 00:00:00","30/12/1899 11:09:00","Sunday","14800","angbutter","1","4800","11:30:00 AM"
"19/01/2020 00:00:00","30/12/1899 11:09:00","Sunday","14800","angbutter","1","4800","11:30:00 AM"
"04/01/2020 00:00:00","30/12/1899 11:10:00","Saturday","14800","angbutter","1","4800","11:30:00 AM"
"07/03/2020 00:00:00","30/12/1899 11:16:00","Saturday","14800","angbutter","1","4800","11:30:00 AM"
"30/08/2019 00:00:00","30/12/1899 11:16:00","Friday","14800","angbutter","1","4800","11:30:00 AM"
"29/09/2019 00:00:00","30/12/1899 11:17:00","Sunday","14800","angbutter","1","4800","11:30:00 AM"
"28/10/2019 00:00:00","30/12/1899 11:17:00","Monday","14800","angbutter","1","4800","11:30:00 AM"
"27/10/2019 00:00:00","30/12/1899 11:18:00","Sunday","14800","angbutter","1","4800","11:30:00 AM"
"11/10/2019 00:00:00","30/12/1899 11:18:00","Friday","14800","angbutter","1","4800","11:30:00 AM"
"09/10/2019 00:00:00","30/12/1899 11:21:00","Wednesday","14800","angbutter","1","4800","11:30:00 AM"
"01/09/2019 00:00:00","30/12/1899 11:22:00","Sunday","14800","angbutter","1","4800","11:30:00 AM"
"22/03/2020 00:00:00","30/12/1899 11:22:00","Sunday","14800","angbutter","1","4800","11:30:00 AM"
"06/12/2019 00:00:00","30/12/1899 11:23:00","Friday","14800","angbutter","1","4800","11:30:00 AM"
"07/11/2019 00:00:00","30/12/1899 11:26:00","Thursday","14800","angbutter","1","4800","11:30:00 AM"
"12/12/2019 00:00:00","30/12/1899 11:27:00","Thursday","14800","angbutter","1","4800","11:30:00 AM"
"08/09/2019 00:00:00","30/12/1899 11:27:00","Sunday","14800","angbutter","1","4800","11:30:00 AM"
"01/12/2019 00:00:00","30/12/1899 11:29:00","Sunday","14800","angbutter","1","4800","11:30:00 AM"
"06/09/2019 00:00:00","30/12/1899 11:30:00","Friday","14800","angbutter","1","4800","12:00:00 PM"
"09/12/2019 00:00:00","30/12/1899 11:31:00","Monday","14800","angbutter","1","4800","12:00:00 PM"
"11/10/2019 00:00:00","30/12/1899 11:34:00","Friday","14800","angbutter","1","4800","12:00:00 PM"
"09/11/2019 00:00:00","30/12/1899 11:36:00","Saturday","14800","angbutter","1","4800","12:00:00 PM"
"31/08/2019 00:00:00","30/12/1899 11:37:00","Saturday","14800","angbutter","1","4800","12:00:00 PM"
"28/03/2020 00:00:00","30/12/1899 11:38:00","Saturday","14800","angbutter","1","4800","12:00:00 PM"
"29/07/2019 00:00:00","30/12/1899 11:39:00","Monday","14800","angbutter","1","4800","12:00:00 PM"
"07/09/2019 00:00:00","30/12/1899 11:40:00","Saturday","14800","angbutter","1","4800","12:00:00 PM"
"24/01/2020 00:00:00","30/12/1899 11:40:00","Friday","14800","angbutter","1","4800","12:00:00 PM"
"14/10/2019 00:00:00","30/12/1899 11:40:00","Monday","14800","angbutter","1","4800","12:00:00 PM"
"09/03/2020 00:00:00","30/12/1899 11:42:00","Monday","14800","angbutter","1","4800","12:00:00 PM"
"19/07/2019 00:00:00","30/12/1899 11:43:00","Friday","14800","angbutter","1","4800","12:00:00 PM"
"17/01/2020 00:00:00","30/12/1899 11:46:00","Friday","14800","angbutter","1","4800","12:00:00 PM"
"17/10/2019 00:00:00","30/12/1899 11:47:00","Thursday","14800","angbutter","1","4800","12:00:00 PM"
"28/12/2019 00:00:00","30/12/1899 11:48:00","Saturday","14800","angbutter","1","4800","12:00:00 PM"
"22/08/2019 00:00:00","30/12/1899 11:48:00","Thursday","14800","angbutter","1","4800","12:00:00 PM"
"06/12/2019 00:00:00","30/12/1899 11:49:00","Friday","14800","angbutter","1","4800","12:00:00 PM"
"01/08/2019 00:00:00","30/12/1899 11:50:00","Thursday","14800","angbutter","1","4800","12:00:00 PM"
"27/03/2020 00:00:00","30/12/1899 11:51:00","Friday","14800","angbutter","1","4800","12:00:00 PM"
"25/04/2020 00:00:00","30/12/1899 11:52:00","Saturday","14800","angbutter","1","4800","12:00:00 PM"
"21/12/2019 00:00:00","30/12/1899 11:52:00","Saturday","14800","angbutter","1","4800","12:00:00 PM"
"28/02/2020 00:00:00","30/12/1899 11:54:00","Friday","14800","angbutter","1","4800","12:00:00 PM"
"08/02/2020 00:00:00","30/12/1899 11:57:00","Saturday","14800","angbutter","1","4800","12:00:00 PM"
"29/09/2019 00:00:00","30/12/1899 12:00:00","Sunday","14800","angbutter","1","4800","12:30:00 PM"
"29/07/2019 00:00:00","30/12/1899 12:02:00","Monday","14800","angbutter","1","4800","12:30:00 PM"
"07/12/2019 00:00:00","30/12/1899 12:02:00","Saturday","14800","angbutter","1","4800","12:30:00 PM"
"04/09/2019 00:00:00","30/12/1899 12:04:00","Wednesday","14800","angbutter","1","4800","12:30:00 PM"
"26/08/2019 00:00:00","30/12/1899 12:05:00","Monday","14800","angbutter","1","4800","12:30:00 PM"
"31/01/2020 00:00:00","30/12/1899 12:06:00","Friday","14800","angbutter","1","4800","12:30:00 PM"
"26/10/2019 00:00:00","30/12/1899 12:07:00","Saturday","14800","angbutter","1","4800","12:30:00 PM"
"27/04/2020 00:00:00","30/12/1899 12:08:00","Monday","14800","angbutter","1","4800","12:30:00 PM"
"14/10/2019 00:00:00","30/12/1899 12:09:00","Monday","14800","angbutter","1","4800","12:30:00 PM"
"28/07/2019 00:00:00","30/12/1899 12:10:00","Sunday","14800","angbutter","1","4800","12:30:00 PM"
"20/02/2020 00:00:00","30/12/1899 12:12:00","Thursday","14800","angbutter","1","4800","12:30:00 PM"
"01/03/2020 00:00:00","30/12/1899 12:13:00","Sunday","14800","angbutter","1","4800","12:30:00 PM"
"05/08/2019 00:00:00","30/12/1899 12:14:00","Monday","14800","angbutter","1","4800","12:30:00 PM"
"25/12/2019 00:00:00","30/12/1899 12:16:00","Wednesday","14800","angbutter","1","4800","12:30:00 PM"
"05/03/2020 00:00:00","30/12/1899 12:17:00","Thursday","14800","angbutter","1","4800","12:30:00 PM"
"31/10/2019 00:00:00","30/12/1899 12:18:00","Thursday","14800","angbutter","1","4800","12:30:00 PM"
"28/07/2019 00:00:00","30/12/1899 12:21:00","Sunday","14800","angbutter","1","4800","12:30:00 PM"
"06/03/2020 00:00:00","30/12/1899 12:22:00","Friday","14800","angbutter","1","4800","12:30:00 PM"
